id,entidad,descripcion,monto,tipo,fecha
1641,Municipalidad,Mejoramiento de sistemas de riego agrícola,50726.58,Servicios,2025-06-07
1642,Ministerio de Salud,Impresión de materiales escolares,92366.62,Tecnología,2024-10-12
1643,Municipalidad,Recolección de residuos sólidos,47610.76,Servicios,2024-10-09
1644,SUNAT,Capacitación a personal administrativo,63571.15,Seguridad,2024-10-10
1645,Ministerio de Transporte,Capacitación a personal administrativo,18128.19,Infraestructura,2024-09-03
1646,Gobierno Regional,Recolección de residuos sólidos,62849.21,Seguridad,2025-03-28
1647,SUNAT,Desarrollo de software educativo,44385.67,Tecnología,2025-07-08
1648,Ministerio de Educación,Recolección de residuos sólidos,79571.9,Seguridad,2024-12-30
1649,Ministerio del Interior,Contratación de servicios de limpieza,85621.58,Seguridad,2025-04-01
1650,Ministerio de Transporte,Compra de equipos médicos de diagnóstico,127686.91,Ambiental,2025-04-26
1651,EsSalud,Mejoramiento de sistemas de riego agrícola,67389.0,Tecnología,2024-11-05
1652,Ministerio del Interior,Adquisición de equipos de cómputo,59773.89,Ambiental,2025-02-13
1653,Ministerio de Agricultura,Capacitación a personal administrativo,55831.53,Servicios,2025-07-24
1654,Ministerio de Salud,Compra de luminarias LED para parques,39405.01,Tecnología,2025-03-18
1655,Gobierno Regional,Mantenimiento de carreteras nacionales,60154.52,Servicios,2024-09-28
1656,Ministerio de Agricultura,Adquisición de uniformes policiales,41137.96,Infraestructura,2024-11-02
1657,Ministerio de Agricultura,Mejoramiento de sistemas de riego agrícola,55053.83,Educación,2025-01-30
1658,Ministerio de Salud,Catering para evento institucional,89527.93,Infraestructura,2025-04-08
1659,EsSalud,Capacitación a personal administrativo,19803.72,Salud,2024-11-10
1660,EsSalud,Adquisición de medicamentos para hospitales,84196.36,Ambiental,2025-01-29
1661,Ministerio de Salud,Mejoramiento de sistemas de riego agrícola,89513.45,Servicios,2024-11-11
1662,EsSalud,Recolección de residuos sólidos,46457.94,Servicios,2025-04-19
1663,SUNAT,Compra de luminarias LED para parques,1000.0,Ambiental,2024-08-07
1664,Ministerio de Transporte,Instalación de cámaras de videovigilancia,31765.34,Salud,2025-07-19
1665,EsSalud,Impresión de materiales escolares,88909.84,Ambiental,2025-06-12
1666,Gobierno Local,Consultoría para diseño de puente,49313.96,Infraestructura,2025-01-31
1667,SUNAT,Contratación de servicios de limpieza,20020.93,Educación,2025-07-19
1668,Ministerio de Educación,Impresión de materiales escolares,34856.75,Infraestructura,2024-11-23
1669,Municipalidad,Adquisición de equipos de cómputo,75218.6,Tecnología,2025-04-24
1670,Ministerio de Transporte,Recolección de residuos sólidos,66402.01,Salud,2025-03-04
1671,Ministerio del Interior,Adquisición de medicamentos para hospitales,42832.04,Infraestructura,2024-10-04
1672,Gobierno Local,Desarrollo de software educativo,38995.27,Infraestructura,2024-09-01
1673,EsSalud,Instalación de cámaras de videovigilancia,38247.26,Infraestructura,2025-01-22
1674,EsSalud,Recolección de residuos sólidos,22327.69,Seguridad,2024-12-16
1675,Ministerio del Interior,Compra de luminarias LED para parques,98461.27,Salud,2025-03-20
1676,Ministerio de Salud,Consultoría para diseño de puente,40330.39,Infraestructura,2024-11-28
1677,Gobierno Regional,Contratación de servicios de limpieza,86514.76,Tecnología,2025-04-09
1678,Ministerio de Salud,Compra de equipos médicos de diagnóstico,95639.48,Servicios,2025-01-15
1679,Gobierno Local,Desarrollo de software educativo,79949.33,Servicios,2025-04-29
1680,Municipalidad,Adquisición de uniformes policiales,37051.39,Ambiental,2024-11-09
1681,Ministerio de Educación,Consultoría para diseño de puente,62111.9,Servicios,2025-01-28
1682,EsSalud,Consultoría para diseño de puente,49274.13,Servicios,2025-06-28
1683,Ministerio de Agricultura,Capacitación a personal administrativo,22888.94,Educación,2024-11-29
1684,Ministerio del Interior,Contratación de servicios de limpieza,59730.78,Salud,2024-10-20
1685,Ministerio de Salud,Compra de luminarias LED para parques,14628.81,Seguridad,2024-12-31
1686,Ministerio de Educación,Compra de luminarias LED para parques,85630.38,Seguridad,2025-07-01
1687,Gobierno Local,Contratación de servicios de limpieza,36061.48,Servicios,2025-02-07
1688,Municipalidad,Instalación de cámaras de videovigilancia,56034.79,Salud,2024-09-14
1689,SUNAT,Mantenimiento de carreteras nacionales,58498.64,Servicios,2024-11-04
1690,Municipalidad,Instalación de cámaras de videovigilancia,42232.85,Servicios,2024-12-30
1691,Municipalidad,Recolección de residuos sólidos,67600.81,Seguridad,2025-03-14
1692,Municipalidad,Compra de equipos médicos de diagnóstico,35752.89,Infraestructura,2024-12-21
1693,Ministerio de Agricultura,Desarrollo de software educativo,76138.92,Infraestructura,2025-03-15
1694,Ministerio de Salud,Desarrollo de software educativo,9620.61,Tecnología,2024-11-26
1695,Gobierno Local,Adquisición de uniformes policiales,53791.39,Seguridad,2025-05-02
1696,Ministerio de Educación,Instalación de cámaras de videovigilancia,108167.87,Infraestructura,2024-11-26
1697,Ministerio de Salud,Instalación de cámaras de videovigilancia,19990.06,Ambiental,2024-08-12
1698,Municipalidad,Recolección de residuos sólidos,29667.65,Ambiental,2025-06-22
1699,Ministerio del Interior,Adquisición de uniformes policiales,65417.24,Seguridad,2025-04-16
1700,Ministerio de Salud,Contratación de servicios de limpieza,55387.45,Seguridad,2025-01-04
1701,Gobierno Local,Capacitación a personal administrativo,60518.9,Infraestructura,2024-11-18
1702,Ministerio de Educación,Adquisición de equipos de cómputo,64675.61,Seguridad,2024-08-07
1703,EsSalud,Instalación de cámaras de videovigilancia,69041.64,Educación,2025-03-11
1704,SUNAT,Mejoramiento de sistemas de riego agrícola,83291.0,Seguridad,2025-07-05
1705,Ministerio de Educación,Compra de luminarias LED para parques,62294.56,Servicios,2025-04-27
1706,Gobierno Regional,Capacitación a personal administrativo,42762.27,Seguridad,2025-06-02
1707,Ministerio de Agricultura,Catering para evento institucional,70177.21,Servicios,2025-05-20
1708,Ministerio de Transporte,Consultoría para diseño de puente,106996.46,Infraestructura,2024-08-23
1709,Municipalidad,Adquisición de equipos de cómputo,46020.99,Tecnología,2025-07-23
1710,Ministerio de Agricultura,Desarrollo de software educativo,20764.12,Infraestructura,2025-03-27
1711,Ministerio de Educación,Instalación de cámaras de videovigilancia,83212.42,Salud,2025-05-20
1712,EsSalud,Impresión de materiales escolares,46388.57,Infraestructura,2025-02-12
1713,Municipalidad,Adquisición de uniformes policiales,1000.0,Tecnología,2025-06-23
1714,Ministerio de Educación,Impresión de materiales escolares,75422.65,Servicios,2025-07-21
1715,Gobierno Local,Recolección de residuos sólidos,33940.15,Ambiental,2025-07-20
1716,Ministerio de Transporte,Consultoría para diseño de puente,47284.0,Salud,2024-11-23
1717,Gobierno Local,Contratación de servicios de limpieza,59959.41,Educación,2025-06-01
1718,Ministerio de Transporte,Consultoría para diseño de puente,55714.99,Infraestructura,2025-06-10
1719,Ministerio de Agricultura,Mantenimiento de carreteras nacionales,71283.55,Tecnología,2024-11-01
1720,Ministerio del Interior,Compra de luminarias LED para parques,36935.41,Servicios,2025-03-27
1721,Ministerio del Interior,Adquisición de medicamentos para hospitales,65393.17,Tecnología,2025-06-11
1722,Gobierno Regional,Catering para evento institucional,42213.6,Infraestructura,2024-12-18
1723,Ministerio de Educación,Adquisición de uniformes policiales,72164.31,Educación,2024-10-28
1724,SUNAT,Catering para evento institucional,68461.02,Servicios,2025-04-08
1725,Gobierno Regional,Desarrollo de software educativo,21936.84,Salud,2024-10-16
1726,SUNAT,Impresión de materiales escolares,82579.46,Seguridad,2025-04-02
1727,Gobierno Regional,Impresión de materiales escolares,33921.1,Seguridad,2024-11-09
1728,Ministerio de Salud,Adquisición de medicamentos para hospitales,74241.73,Ambiental,2025-04-24
1729,Municipalidad,Compra de equipos médicos de diagnóstico,61018.62,Tecnología,2025-05-24
1730,Gobierno Regional,Contratación de servicios de limpieza,105145.51,Tecnología,2025-05-10
1731,Gobierno Regional,Consultoría para diseño de puente,43296.02,Tecnología,2025-05-29
1732,Ministerio de Transporte,Catering para evento institucional,39520.5,Educación,2025-04-17
1733,Ministerio del Interior,Instalación de cámaras de videovigilancia,49417.41,Ambiental,2025-04-25
1734,Ministerio del Interior,Adquisición de uniformes policiales,40904.61,Ambiental,2025-06-25
1735,Ministerio del Interior,Adquisición de medicamentos para hospitales,73998.26,Salud,2024-09-26
1736,Ministerio de Agricultura,Compra de equipos médicos de diagnóstico,1510.68,Seguridad,2025-04-04
1737,Ministerio de Educación,Adquisición de medicamentos para hospitales,18389.53,Servicios,2024-09-10
1738,Ministerio de Agricultura,Compra de equipos médicos de diagnóstico,17965.91,Salud,2025-07-20
1739,Ministerio de Salud,Instalación de cámaras de videovigilancia,78509.23,Seguridad,2025-04-04
1740,EsSalud,Compra de equipos médicos de diagnóstico,101318.4,Seguridad,2025-04-12
1741,Ministerio de Educación,Recolección de residuos sólidos,46866.52,Infraestructura,2024-08-19
1742,Ministerio de Transporte,Adquisición de uniformes policiales,44935.35,Educación,2024-12-01
1743,Gobierno Local,Recolección de residuos sólidos,52101.56,Infraestructura,2025-06-06
1744,Ministerio de Transporte,Capacitación a personal administrativo,84856.35,Salud,2025-01-22
1745,Municipalidad,Recolección de residuos sólidos,22179.41,Ambiental,2024-08-16
1746,Ministerio de Agricultura,Contratación de servicios de limpieza,57151.07,Educación,2025-03-17
1747,Ministerio de Educación,Adquisición de uniformes policiales,79255.93,Seguridad,2024-12-23
1748,Gobierno Regional,Impresión de materiales escolares,65032.83,Ambiental,2025-05-15
1749,Ministerio de Educación,Desarrollo de software educativo,55687.45,Infraestructura,2024-09-24
1750,Gobierno Regional,Mejoramiento de sistemas de riego agrícola,80031.38,Tecnología,2024-09-08
1751,Ministerio del Interior,Adquisición de medicamentos para hospitales,1000.0,Infraestructura,2025-07-23
1752,EsSalud,Adquisición de equipos de cómputo,70336.26,Infraestructura,2024-11-26
1753,EsSalud,Adquisición de equipos de cómputo,30377.73,Salud,2024-12-08
1754,Gobierno Local,Compra de luminarias LED para parques,1000.0,Infraestructura,2025-05-21
1755,Ministerio de Transporte,Impresión de materiales escolares,65336.08,Seguridad,2025-01-12
1756,Ministerio de Salud,Adquisición de uniformes policiales,91209.76,Seguridad,2024-10-11
1757,Municipalidad,Desarrollo de software educativo,45876.54,Educación,2024-10-20
1758,Gobierno Local,Adquisición de medicamentos para hospitales,78586.24,Educación,2024-09-24
1759,Ministerio de Salud,Instalación de cámaras de videovigilancia,98368.35,Salud,2025-06-05
1760,Ministerio de Salud,Adquisición de medicamentos para hospitales,89447.43,Seguridad,2025-03-01
1761,Ministerio de Transporte,Adquisición de uniformes policiales,99198.94,Ambiental,2025-07-10
1762,Ministerio del Interior,Mantenimiento de carreteras nacionales,72263.82,Educación,2024-12-24
1763,Municipalidad,Consultoría para diseño de puente,52263.01,Seguridad,2025-02-26
1764,Gobierno Regional,Compra de equipos médicos de diagnóstico,1941.03,Seguridad,2025-02-14
1765,Ministerio de Salud,Recolección de residuos sólidos,42618.13,Ambiental,2025-07-24
1766,Ministerio de Transporte,Instalación de cámaras de videovigilancia,24702.6,Educación,2024-11-17
1767,Municipalidad,Contratación de servicios de limpieza,115128.28,Educación,2025-06-22
1768,Gobierno Regional,Adquisición de uniformes policiales,44723.43,Tecnología,2024-10-06
1769,Ministerio de Transporte,Compra de luminarias LED para parques,53696.14,Seguridad,2024-11-11
1770,Gobierno Local,Mantenimiento de carreteras nacionales,66544.56,Servicios,2025-07-24
1771,Ministerio de Transporte,Desarrollo de software educativo,51308.07,Salud,2025-06-20
1772,SUNAT,Compra de equipos médicos de diagnóstico,100851.53,Educación,2025-02-07
1773,EsSalud,Desarrollo de software educativo,31320.52,Servicios,2025-06-13
1774,Ministerio de Agricultura,Compra de equipos médicos de diagnóstico,55838.22,Servicios,2024-11-26
1775,Ministerio del Interior,Recolección de residuos sólidos,27725.88,Infraestructura,2025-05-20
1776,Ministerio de Salud,Compra de luminarias LED para parques,10399.32,Ambiental,2025-07-08
1777,EsSalud,Adquisición de equipos de cómputo,31646.93,Ambiental,2024-12-13
1778,Ministerio de Educación,Compra de equipos médicos de diagnóstico,48888.9,Salud,2025-06-12
1779,Ministerio de Salud,Instalación de cámaras de videovigilancia,37120.93,Salud,2024-09-17
1780,Ministerio de Transporte,Capacitación a personal administrativo,29227.37,Educación,2025-02-01
1781,SUNAT,Catering para evento institucional,7810.48,Salud,2024-09-02
1782,Ministerio de Agricultura,Mantenimiento de carreteras nacionales,47506.83,Seguridad,2024-09-27
1783,Ministerio de Transporte,Mejoramiento de sistemas de riego agrícola,4858.39,Servicios,2025-05-23
1784,EsSalud,Consultoría para diseño de puente,72801.68,Servicios,2024-10-30
1785,Municipalidad,Consultoría para diseño de puente,52473.19,Salud,2025-07-04
1786,Ministerio de Transporte,Capacitación a personal administrativo,6273.46,Infraestructura,2025-04-23
1787,Ministerio de Salud,Capacitación a personal administrativo,40723.73,Servicios,2025-05-12
1788,Ministerio de Educación,Desarrollo de software educativo,27435.31,Seguridad,2025-04-22
1789,Ministerio de Educación,Adquisición de uniformes policiales,59575.24,Seguridad,2025-01-05
1790,Ministerio de Transporte,Mantenimiento de carreteras nacionales,90213.51,Tecnología,2025-06-28
1791,Ministerio de Salud,Adquisición de medicamentos para hospitales,1000.0,Tecnología,2025-06-12
1792,Gobierno Regional,Instalación de cámaras de videovigilancia,53450.78,Seguridad,2025-03-08
1793,Gobierno Regional,Impresión de materiales escolares,45196.02,Servicios,2024-12-24
1794,SUNAT,Contratación de servicios de limpieza,70140.2,Servicios,2024-09-08
1795,Ministerio de Transporte,Impresión de materiales escolares,56395.9,Tecnología,2025-06-07
1796,Ministerio de Educación,Catering para evento institucional,27440.92,Salud,2025-01-04
1797,Ministerio del Interior,Adquisición de uniformes policiales,40428.38,Ambiental,2024-08-09
1798,Municipalidad,Capacitación a personal administrativo,26119.22,Ambiental,2024-11-14
1799,SUNAT,Desarrollo de software educativo,82280.21,Ambiental,2025-02-28
1800,Gobierno Regional,Mantenimiento de carreteras nacionales,50639.35,Infraestructura,2024-09-20
1801,Ministerio de Salud,Capacitación a personal administrativo,107035.72,Infraestructura,2025-01-27
1802,Ministerio de Transporte,Adquisición de uniformes policiales,48180.18,Educación,2024-12-25
1803,SUNAT,Desarrollo de software educativo,28747.8,Educación,2025-04-22
1804,SUNAT,Catering para evento institucional,4588.57,Educación,2025-05-21
1805,Ministerio del Interior,Desarrollo de software educativo,1000.0,Servicios,2025-04-22
1806,Gobierno Local,Adquisición de medicamentos para hospitales,2475.92,Tecnología,2024-11-13
1807,Gobierno Regional,Consultoría para diseño de puente,58013.8,Ambiental,2025-03-19
1808,Ministerio de Transporte,Mejoramiento de sistemas de riego agrícola,65261.75,Ambiental,2024-12-29
1809,SUNAT,Adquisición de medicamentos para hospitales,2564.28,Salud,2025-06-19
1810,Municipalidad,Instalación de cámaras de videovigilancia,76851.15,Servicios,2025-04-08
1811,Ministerio de Salud,Adquisición de equipos de cómputo,35508.17,Tecnología,2025-08-04
1812,Ministerio de Agricultura,Desarrollo de software educativo,54403.79,Seguridad,2024-12-26
1813,Gobierno Local,Adquisición de equipos de cómputo,98366.62,Educación,2024-09-15
1814,EsSalud,Instalación de cámaras de videovigilancia,76905.18,Tecnología,2025-04-23
1815,Ministerio de Educación,Compra de luminarias LED para parques,41944.08,Educación,2024-11-02
1816,Gobierno Local,Mantenimiento de carreteras nacionales,23264.23,Ambiental,2025-02-03
1817,EsSalud,Consultoría para diseño de puente,1000.0,Servicios,2024-08-13
1818,Ministerio del Interior,Catering para evento institucional,28425.4,Tecnología,2025-04-01
1819,Ministerio de Agricultura,Mejoramiento de sistemas de riego agrícola,43666.09,Educación,2025-07-13
1820,Ministerio de Salud,Adquisición de medicamentos para hospitales,20384.61,Seguridad,2025-03-10
1821,Gobierno Regional,Compra de luminarias LED para parques,46062.29,Tecnología,2024-12-09
1822,SUNAT,Capacitación a personal administrativo,52305.56,Ambiental,2025-07-25
1823,Gobierno Regional,Mantenimiento de carreteras nacionales,43254.32,Tecnología,2025-03-28
1824,SUNAT,Impresión de materiales escolares,30499.92,Infraestructura,2024-10-28
1825,Ministerio de Educación,Recolección de residuos sólidos,55059.64,Salud,2025-04-12
1826,Ministerio de Agricultura,Compra de equipos médicos de diagnóstico,63258.22,Educación,2024-08-28
1827,Ministerio del Interior,Adquisición de uniformes policiales,17288.03,Tecnología,2025-04-07
1828,EsSalud,Mantenimiento de carreteras nacionales,92327.97,Ambiental,2025-06-19
1829,SUNAT,Desarrollo de software educativo,47042.36,Educación,2025-01-31
1830,SUNAT,Mantenimiento de carreteras nacionales,50565.49,Tecnología,2025-07-23
1831,SUNAT,Consultoría para diseño de puente,71246.43,Servicios,2025-05-03
1832,Ministerio de Transporte,Consultoría para diseño de puente,56996.48,Seguridad,2024-11-29
1833,Ministerio de Salud,Mantenimiento de carreteras nacionales,78594.1,Ambiental,2025-04-13
1834,Ministerio del Interior,Adquisición de medicamentos para hospitales,58613.72,Educación,2025-01-09
1835,Ministerio de Agricultura,Adquisición de medicamentos para hospitales,31626.88,Tecnología,2024-09-18
1836,Ministerio de Transporte,Desarrollo de software educativo,60845.11,Educación,2024-09-27
1837,Gobierno Local,Instalación de cámaras de videovigilancia,15688.21,Servicios,2024-08-21
1838,Ministerio de Agricultura,Compra de luminarias LED para parques,53256.79,Infraestructura,2024-08-18
1839,SUNAT,Impresión de materiales escolares,49003.1,Servicios,2024-11-30
1840,Ministerio de Salud,Capacitación a personal administrativo,43756.49,Infraestructura,2025-02-11
1841,SUNAT,Impresión de materiales escolares,46143.87,Educación,2024-09-18
1842,Gobierno Local,Contratación de servicios de limpieza,1000.0,Ambiental,2024-09-10
1843,Ministerio de Educación,Adquisición de equipos de cómputo,33538.25,Ambiental,2024-11-03
1844,Ministerio de Transporte,Mantenimiento de carreteras nacionales,52785.35,Tecnología,2025-07-14
1845,EsSalud,Adquisición de medicamentos para hospitales,54795.69,Servicios,2025-02-28
1846,Ministerio de Educación,Capacitación a personal administrativo,19169.75,Seguridad,2024-09-25
1847,Municipalidad,Compra de luminarias LED para parques,87971.24,Educación,2025-01-01
1848,Ministerio de Educación,Adquisición de equipos de cómputo,24014.75,Salud,2025-01-27
1849,Ministerio de Salud,Mejoramiento de sistemas de riego agrícola,79083.72,Infraestructura,2024-12-26
1850,SUNAT,Catering para evento institucional,62815.83,Tecnología,2025-04-21
1851,Ministerio del Interior,Mantenimiento de carreteras nacionales,30613.18,Servicios,2025-05-19
1852,Gobierno Local,Compra de equipos médicos de diagnóstico,103259.33,Infraestructura,2025-05-01
1853,Ministerio de Transporte,Mejoramiento de sistemas de riego agrícola,14190.9,Tecnología,2025-03-01
1854,Ministerio del Interior,Compra de equipos médicos de diagnóstico,77574.63,Ambiental,2025-01-13
1855,EsSalud,Adquisición de equipos de cómputo,80017.47,Servicios,2025-03-20
1856,Ministerio de Transporte,Desarrollo de software educativo,29881.39,Ambiental,2025-05-19
1857,Ministerio de Salud,Mejoramiento de sistemas de riego agrícola,91773.96,Seguridad,2025-05-13
1858,Gobierno Local,Mantenimiento de carreteras nacionales,42498.6,Tecnología,2024-10-03
1859,SUNAT,Consultoría para diseño de puente,58660.81,Seguridad,2025-07-13
1860,Gobierno Local,Compra de luminarias LED para parques,57809.66,Infraestructura,2025-01-12
1861,SUNAT,Adquisición de medicamentos para hospitales,45970.74,Educación,2025-04-15
1862,Ministerio de Salud,Compra de luminarias LED para parques,74324.25,Ambiental,2024-09-11
1863,Gobierno Local,Consultoría para diseño de puente,73804.66,Educación,2025-06-23
1864,Gobierno Regional,Adquisición de equipos de cómputo,1000.0,Educación,2025-02-10
1865,Gobierno Regional,Adquisición de equipos de cómputo,89130.21,Tecnología,2025-03-31
1866,Gobierno Regional,Mantenimiento de carreteras nacionales,1000.0,Ambiental,2025-01-09
1867,Gobierno Local,Contratación de servicios de limpieza,80976.39,Servicios,2025-08-03
1868,Ministerio de Agricultura,Mejoramiento de sistemas de riego agrícola,83801.15,Ambiental,2024-11-20
1869,Ministerio del Interior,Contratación de servicios de limpieza,17271.01,Seguridad,2024-08-16
1870,EsSalud,Recolección de residuos sólidos,37675.57,Ambiental,2025-04-29
1871,Ministerio de Educación,Recolección de residuos sólidos,16828.86,Ambiental,2024-12-25
1872,Gobierno Regional,Catering para evento institucional,43552.37,Ambiental,2024-10-27
1873,Gobierno Local,Adquisición de equipos de cómputo,40758.97,Seguridad,2025-01-23
1874,Ministerio de Agricultura,Recolección de residuos sólidos,73389.82,Tecnología,2025-01-23
1875,Ministerio de Agricultura,Capacitación a personal administrativo,89309.26,Servicios,2024-11-03
1876,Ministerio de Agricultura,Instalación de cámaras de videovigilancia,91870.51,Infraestructura,2025-07-02
1877,EsSalud,Compra de equipos médicos de diagnóstico,33134.96,Educación,2024-12-22
1878,Municipalidad,Instalación de cámaras de videovigilancia,43723.34,Servicios,2024-09-11
1879,Gobierno Regional,Adquisición de equipos de cómputo,1000.0,Seguridad,2025-04-27
1880,Gobierno Regional,Compra de luminarias LED para parques,25823.9,Educación,2024-12-24
1881,Ministerio de Educación,Adquisición de equipos de cómputo,78945.55,Salud,2025-03-03
1882,Ministerio de Educación,Compra de luminarias LED para parques,98467.48,Ambiental,2025-07-20
1883,Gobierno Local,Contratación de servicios de limpieza,12969.53,Seguridad,2025-04-11
1884,Ministerio del Interior,Instalación de cámaras de videovigilancia,32226.07,Seguridad,2024-12-21
1885,Ministerio de Agricultura,Recolección de residuos sólidos,49207.83,Tecnología,2024-08-27
1886,Ministerio del Interior,Desarrollo de software educativo,58404.83,Salud,2025-01-05
1887,Ministerio de Agricultura,Mantenimiento de carreteras nacionales,25711.89,Salud,2024-11-19
1888,Ministerio del Interior,Catering para evento institucional,62721.83,Salud,2024-10-16
1889,Ministerio de Salud,Compra de equipos médicos de diagnóstico,35784.82,Servicios,2024-09-20
1890,Gobierno Regional,Recolección de residuos sólidos,49566.43,Seguridad,2025-06-29
1891,Municipalidad,Catering para evento institucional,66388.53,Tecnología,2025-06-20
1892,Ministerio de Salud,Adquisición de equipos de cómputo,50192.67,Tecnología,2025-01-27
1893,Municipalidad,Compra de equipos médicos de diagnóstico,36908.42,Tecnología,2024-09-08
1894,Ministerio de Agricultura,Adquisición de medicamentos para hospitales,46711.71,Servicios,2025-04-18
1895,SUNAT,Mantenimiento de carreteras nacionales,47349.11,Educación,2024-10-25
1896,Ministerio de Agricultura,Capacitación a personal administrativo,38899.67,Infraestructura,2025-04-10
1897,Ministerio de Agricultura,Adquisición de uniformes policiales,42236.12,Infraestructura,2025-04-09
1898,Ministerio de Agricultura,Desarrollo de software educativo,97959.42,Tecnología,2025-03-23
1899,Municipalidad,Adquisición de equipos de cómputo,66827.58,Seguridad,2024-08-12
1900,Ministerio de Salud,Mejoramiento de sistemas de riego agrícola,41135.59,Ambiental,2024-08-23
1901,Ministerio del Interior,Adquisición de uniformes policiales,70908.63,Tecnología,2025-06-05
1902,Ministerio de Educación,Compra de luminarias LED para parques,39985.42,Salud,2024-12-11
1903,Ministerio de Salud,Adquisición de equipos de cómputo,85193.74,Servicios,2024-11-06
1904,EsSalud,Contratación de servicios de limpieza,61089.27,Tecnología,2024-09-21
1905,SUNAT,Capacitación a personal administrativo,46780.94,Infraestructura,2025-06-05
1906,Ministerio de Educación,Desarrollo de software educativo,63431.51,Educación,2025-03-11
1907,Ministerio de Agricultura,Adquisición de equipos de cómputo,2873.72,Educación,2024-10-22
1908,EsSalud,Desarrollo de software educativo,16196.98,Seguridad,2024-08-30
1909,EsSalud,Recolección de residuos sólidos,14182.25,Ambiental,2025-06-22
1910,Gobierno Regional,Instalación de cámaras de videovigilancia,54288.29,Salud,2025-05-28
1911,Gobierno Regional,Catering para evento institucional,101975.45,Seguridad,2025-03-07
1912,Ministerio de Agricultura,Mantenimiento de carreteras nacionales,116939.0,Ambiental,2024-10-23
1913,Ministerio de Salud,Adquisición de uniformes policiales,69141.53,Servicios,2025-03-19
1914,Ministerio de Agricultura,Recolección de residuos sólidos,65025.33,Infraestructura,2024-10-26
1915,Gobierno Regional,Contratación de servicios de limpieza,1000.0,Tecnología,2025-06-15
1916,Municipalidad,Adquisición de medicamentos para hospitales,33719.79,Servicios,2025-07-07
1917,SUNAT,Adquisición de equipos de cómputo,26366.49,Infraestructura,2024-11-02
1918,Ministerio de Salud,Catering para evento institucional,31374.57,Servicios,2024-12-09
1919,Gobierno Local,Adquisición de medicamentos para hospitales,44955.69,Tecnología,2025-05-31
1920,Gobierno Local,Capacitación a personal administrativo,35837.28,Seguridad,2024-09-30
1921,Municipalidad,Consultoría para diseño de puente,1000.0,Tecnología,2025-06-06
1922,Gobierno Local,Compra de luminarias LED para parques,72437.31,Servicios,2025-07-19
1923,Ministerio de Transporte,Desarrollo de software educativo,17817.71,Seguridad,2025-03-23
1924,Ministerio de Educación,Compra de luminarias LED para parques,57177.41,Infraestructura,2024-08-05
1925,Gobierno Regional,Compra de luminarias LED para parques,112222.48,Salud,2024-11-19
1926,Ministerio de Agricultura,Catering para evento institucional,22418.46,Ambiental,2025-07-03
1927,Ministerio de Agricultura,Compra de luminarias LED para parques,1000.0,Ambiental,2024-09-29
1928,Ministerio de Transporte,Impresión de materiales escolares,41419.87,Infraestructura,2024-09-23
1929,EsSalud,Instalación de cámaras de videovigilancia,83028.79,Servicios,2025-03-01
1930,Ministerio de Educación,Impresión de materiales escolares,108750.42,Servicios,2024-11-09
1931,EsSalud,Desarrollo de software educativo,13113.51,Educación,2025-06-10
1932,Ministerio de Agricultura,Consultoría para diseño de puente,64900.98,Educación,2024-10-10
1933,Ministerio de Salud,Mantenimiento de carreteras nacionales,36040.69,Seguridad,2024-09-15
1934,Ministerio de Educación,Consultoría para diseño de puente,46821.55,Infraestructura,2025-04-17
1935,Gobierno Local,Mejoramiento de sistemas de riego agrícola,129330.3,Educación,2025-07-06
1936,EsSalud,Adquisición de medicamentos para hospitales,4910.89,Seguridad,2024-08-14
1937,Ministerio de Educación,Adquisición de uniformes policiales,57612.19,Tecnología,2024-09-24
1938,Ministerio de Transporte,Adquisición de uniformes policiales,64030.8,Servicios,2024-08-09
1939,Ministerio de Agricultura,Adquisición de equipos de cómputo,82573.59,Servicios,2024-12-21
1940,Ministerio de Salud,Mejoramiento de sistemas de riego agrícola,52939.49,Educación,2025-06-06
1941,Ministerio de Educación,Compra de luminarias LED para parques,59241.52,Tecnología,2025-06-06
1942,Ministerio de Agricultura,Consultoría para diseño de puente,38250.54,Ambiental,2024-11-04
1943,Ministerio de Salud,Recolección de residuos sólidos,58073.81,Seguridad,2025-03-20
1944,EsSalud,Impresión de materiales escolares,39704.23,Educación,2024-12-07
1945,Ministerio de Transporte,Mantenimiento de carreteras nacionales,68647.16,Infraestructura,2024-08-10
1946,Ministerio de Agricultura,Compra de luminarias LED para parques,38911.69,Salud,2024-10-10
1947,Ministerio de Transporte,Compra de equipos médicos de diagnóstico,61313.01,Seguridad,2024-11-15
1948,EsSalud,Capacitación a personal administrativo,49122.12,Seguridad,2024-08-24
1949,Ministerio del Interior,Capacitación a personal administrativo,83781.51,Salud,2024-09-22
1950,EsSalud,Compra de luminarias LED para parques,48458.19,Tecnología,2025-05-19
1951,Ministerio del Interior,Instalación de cámaras de videovigilancia,1000.0,Tecnología,2025-01-14
1952,Ministerio de Transporte,Adquisición de equipos de cómputo,87857.65,Seguridad,2025-02-24
1953,Gobierno Regional,Adquisición de medicamentos para hospitales,22828.03,Ambiental,2024-09-17
1954,Ministerio de Educación,Adquisición de medicamentos para hospitales,30387.01,Salud,2025-05-20
1955,Ministerio de Transporte,Adquisición de medicamentos para hospitales,32130.16,Infraestructura,2024-08-28
1956,Municipalidad,Compra de luminarias LED para parques,91233.14,Salud,2025-02-04
